cost,date,market,type
68.33,24/07/20,coles,food
55.33,17/07/20,wolli,food
48.41,20/07/20,wolli,food
81.47,13/07/20,wolli,food
35.5,24/07/20,liquorland,alcohol
15,26/07/20,liquorland,alcohol
58.95,29/07/20,coles,food
21,29/07/20,liquorland,alcohol
40,31/07/20,porter,alcohol
20,02/08/20,coles,phone recharge
39.49,02/08/20,wolli,food
60,04/08/20,wolli,food
50,06/08/20,wolli,food
50,06/08/20,porter,alcohol
11,07/08/20,liquorland,alcohol
71.62,11/08/20,wolli,food
46.21,16/08/20,wolli,food
35.39,19/08/20,wolli,food
54.07,23/08/20,wolli,food
57.27,27/08/20,wolli,food
40,28/08/20,liquorland,alcohol
11.48,28/08/20,chemist warehouse,medicine
55,31/08/20,wolli,food
4.82,02/09/20,wolli,food
22.19,02/09/20,priceline,medicine
40,02/09/20,porter,alcohol
40,04/09/20,porter,alcohol
12.95,04/09/20,mcdonals,food
33.23,05/09/20,wolli,food
60.41,08/09/20,wolli,food
19.99,05/09/20,porter,alcohol
12.95,09/09/20,mcdonals,food
16.5,09/09/20,priceline,medicine
3,09/09/20,wolli,food
13.4,11/09/20,mcdonals,food
11.2,11/09/20,priceline,medicine
42,11/09/20,liquorland,alcohol
46.55,14/09/20,wolli,food
44.13,16/09/20,wolli,food
52.91,19/09/20,wolli,food
20.5,21/09/20,wolli,food
25.84,24/09/20,wolli,food
349,26/09/20,myers,watch
12.5,26/09/20,mcdonals,food
99,26/09/20,myers,wear
70,28/09/20,myers,wear
109,28/09/20,myers,wear
42.11,27/09/20,wolli,food
27,29/09/20,wolli,food
20.36,02/10/20,wolli,food
25.98,03/10/20,wolli,food
32.68,01/10/20,wolli,food
40,03/10/20,porter,alcohol
40,08/10/20,porter,alcohol
38.38,12/10/20,wolli,food
42,10/10/20,liquorland,alcohol
27,13/10/20,wolli,food
32.75,21/10/20,wolli,food
34.37,18/10/20,wolli,food
5.6,13/10/20,chemist warehouse,medicine
34.44,09/10/20,wolli,food
8,09/10/20,dominos,food
27.34,14/10/20,wolli,food
24.19,19/10/20,wolli,food
32.01,22/10/20,wolli,food
20,22/10/20,porter,alcohol
31.5,26/10/20,wolli,food
31.5,27/10/20,wolli,food
54.62,29/10/20,coles,food
59,29/10/20,liquorland,alcohol
52.1,01/11/20,wolli,food
5,07/11/20,dominos,food
2.5,04/11/20,wolli,food
5.5,08/11/20,dominos,food
48.18,03/11/20,wolli,food
22.22,05/11/20,wolli,food
28.98,10/11/20,porter,alcohol
49.58,11/11/20,wolli,food
5.5,08/11/20,dominos,food
22.82,13/11/20,chemist warehouse,food
20,13/11/20,liquorland,alcohol
47.81,25/11/20,wolli,food
32.28,23/11/20,chemist warehouse,medicine
33.84,15/11/20,wolli,food
41.97,19/11/20,wolli,food
20,22/11/20,liquorland,alcohol
20,27/11/20,liquorland,alcohol
31.9,27/11/20,coles,food
8,13/11/20,dominos,food
8,27/11/20,dominos,food
5,22/11/20,dominos,food
53.87,01/12/20,coles,food
40,04/12/20,liquorland,alcohol
51.33,04/12/20,chemist warehouse,food
36.1,16/12/20,wolli,food
32.62,05/12/20,wolli,food
31.98,08/12/20,wolli,food
9,17/12/20,dominos,food
13.2,16/11/20,mcdonals,food
8,04/12/20,dominos,food
15.5,17/12/20,guzmangomez,food
56.85,23/12/20,coles,food
20,17/12/20,liquorland,alcohol
20,23/12/20,liquorland,alcohol
41.81,20/12/20,wolli,food
25.13,11/12/20,wolli,food
5,12/12/20,dominos,food
20,26/12/20,liquorland,alcohol
19.15,26/12/20,coles,food
32.68,02/01/21,wolli,food
67.58,17/12/20,chemist warehouse,medicine
42,06/01/21,myers,wear
20,06/01/21,market,wear
79,06/01/21,market,wear
10.95,03/01/21,pyrmont pharmacy,medicine
138.71,06/01/21,chemist warehouse,medicine
27.18,07/01/21,coles,food
39.56,14/1/21,wolli,food
37.17,11/01/21,wolli,food
41.14,05/02/21,coles,food
30.05,21/01/21,coles,food
32.49,01/02/21,coles,food
13.69,28/01/21,chemist warehouse,medicine
20,21/01/21,liquorland,alcohol
44.59,09/02/21,coles,food
28.55,15/01/21,coles,food
42.15,28/01/21,coles,food
20,15/01/21,liquorland,alcohol
20,11/02/21,porter,alcohol
40.16,18/02/21,wolli,food
20,18/02/21,porter,alcohol
20,21/02/21,porter,alcohol
20,21/02/21,porter,alcohol
4,26/02/21,coles,food
47.81,24/02/21,coles,food
10,01/03/21,telstra,phone recharge
12.49,01/03/21,chemist warehouse,medicine
25.8,01/03/21,wolli,food
20,28/02/21,porter,alcohol
46.72,08/03/21,wolli,food
20,01/03/21,porter,alcohol
56.16,12/03/21,wolli,food
46.99,13/03/21,chemist warehouse,medicine
20,14/03/21,porter,alcohol
20,17/03/21,chemist warehouse,medicine
20,18/03/21,porter,alcohol
5.6,17/03/21,priceline,medicine
22.5,17/03/21,harlequin,food
7.2,17/03/21,bar broadway,alcohol
24.97,24/03/21,wolli,food
15.9,23/03/21,cotis,work food
15.9,26/03/21,cotis,work food
20,26/03/21,liquorland,alcohol
22.5,18/03/21,harlequin,work food
15.9,25/03/21,costis,work food
61.94,24/03/21,priceline,medicine
25,22/03/21,harlequin,work food
5,17/03/21,dominos,food
38.76,27/03/21,wolli,food
36.83,29/03/21,wolli,food
7.5,31/03/21,dominos,food
15.9,31/03/21,street,street food
45,09/04/21,chemist warehouse,parfume
25,09/04/21,chemist warehouse,medicine
25.88,09/04/21,wolli,food
14.4,01/04/21,street,street food
10.9,08/04/21,street,street food
25,27/03/21,street,street food
15.9,27/03/21,street,street food
15.9,24/03/21,street,street food
20,27/03/21,opal,transport
70,08/04/21,chemist warehouse,parfume
10,08/04/21,chemist warehouse,medicine
15.9,12/04/21,street,street food
15.9,14/04/21,street,street food
15.9,15/04/21,street,street food
7.5,13/04/21,street,street food
33.76,16/04/21,wolli,food
20,16/04/21,porter,alcohol
14.9,16/04/21,street,street food
15.9,23/04/21,street,street food
20,09/04/21,street,street food
14.9,20/04/21,street,street food
15.9,21/04/21,street,street food
14.9,19/04/21,street,street food
13.95,06/02/21,pyrmont pharmacy,medicine
9.9,20/04/21,chemist warehouse,medicine
57.45,24/04/21,wolli,food
40,05/04/21,porter,alcohol
9,30/04/21,sushi house,street food
11,26/04/21,sushi house,street food
15.9,28/04/21,costis,street food
15.9,27/04/21,costis,street food
15.9,29/04/22,costis,street food
10,25/04/21,oporto,street food
68.31,01/05/21,wolli,food
14.9,03/05/21,costis,street food
11.6,25/04/21,coles,food
14.9,05/05/21,costis,street food
13.5,24/04/21,mad mex,street food
20,07/05/21,porter,alcohol
4.2,22/03/21,wolli,food
31.05,07/05/21,wolli,food
3.5,05/05/21,coffee,street food
14.9,05/05/21,costis,street food
15.9,06/05/21,costis,street food
6.8,24/04/21,messina,street food
7.9,11/05/21,wolli,street food
20,22/05/21,porter,alcohol
28.45,23/05/21,wolli,food
62.44,23/05/21,wolli,food
14.9,14/05/21,costis,street food
34.64,03/06/21,costis,street food
19.21,31/05/21,costis,street food
62.44,20/05/21,wolli,food
13,03/06/21,liquorland,alcohol
